Timestamp,Open,High,Low,Close,Volume
2025-03-14 04:00:00+00:00,10.41,11.16,10.20,11.01,2367
2025-03-17 04:00:00+00:00,10.89,10.89,8.43,8.76,18127
2025-03-18 04:00:00+00:00,8.88,9.60,8.52,8.76,4210
2025-03-19 04:00:00+00:00,8.43,9.57,7.53,8.61,90970
2025-03-20 04:00:00+00:00,8.07,8.82,7.89,8.43,5900
2025-03-21 04:00:00+00:00,8.58,8.70,7.89,8.28,8077
2025-03-24 04:00:00+00:00,8.40,8.82,7.95,8.64,4673
2025-03-25 04:00:00+00:00,8.25,8.91,8.19,8.64,4920
2025-03-26 04:00:00+00:00,8.25,9.03,7.80,8.52,16027
2025-03-27 04:00:00+00:00,8.28,8.85,7.59,8.13,5823
2025-03-28 04:00:00+00:00,8.31,8.31,7.65,7.86,2983
2025-03-31 04:00:00+00:00,8.10,8.79,7.20,7.80,1395043
2025-04-01 04:00:00+00:00,20.70,46.53,17.10,32.70,16583897
2025-04-02 04:00:00+00:00,27.12,32.10,24.90,26.70,980740
2025-04-03 04:00:00+00:00,23.40,25.83,20.13,21.03,116950
2025-04-04 04:00:00+00:00,20.70,23.37,18.06,20.49,87093
2025-04-07 04:00:00+00:00,17.70,23.10,16.80,21.00,63757
2025-04-08 04:00:00+00:00,21.00,21.90,15.48,17.49,25093
2025-04-09 04:00:00+00:00,17.25,20.40,16.80,18.78,18450
2025-04-10 04:00:00+00:00,18.30,18.30,15.90,16.80,8323
2025-04-11 04:00:00+00:00,16.35,16.74,15.90,16.20,9097
2025-04-14 04:00:00+00:00,15.90,15.90,13.92,15.00,10343
2025-04-15 04:00:00+00:00,14.73,16.20,14.25,14.97,5367
2025-04-16 04:00:00+00:00,14.88,15.90,13.86,14.10,8133
2025-04-17 04:00:00+00:00,14.64,17.43,14.64,15.45,15757
2025-04-21 04:00:00+00:00,15.15,16.44,13.83,14.91,11270
2025-04-22 04:00:00+00:00,14.82,15.60,13.80,15.30,9180
2025-04-23 04:00:00+00:00,15.48,16.05,14.40,14.85,6297
2025-04-24 04:00:00+00:00,14.85,15.90,14.40,15.36,4893
2025-04-25 04:00:00+00:00,15.30,15.30,14.43,14.97,3180
2025-04-28 04:00:00+00:00,15.57,15.57,13.86,14.10,4357
2025-04-29 04:00:00+00:00,13.98,14.40,12.57,13.47,10813
2025-04-30 04:00:00+00:00,13.35,14.10,13.05,14.10,2020
2025-05-01 04:00:00+00:00,13.80,14.40,13.20,14.25,5567
2025-05-02 04:00:00+00:00,12.90,13.83,12.30,13.47,7597
2025-05-05 04:00:00+00:00,13.20,13.20,10.80,11.40,11130
2025-05-06 04:00:00+00:00,7.50,7.62,4.92,6.33,215110
2025-05-07 04:00:00+00:00,6.30,6.54,5.52,6.39,70693
2025-05-08 04:00:00+00:00,5.91,6.30,5.55,6.06,32560
2025-05-09 04:00:00+00:00,5.88,6.45,5.85,6.18,25747
2025-05-12 04:00:00+00:00,6.00,6.27,5.70,6.00,26240
2025-05-13 04:00:00+00:00,6.21,6.57,5.55,6.45,45370
2025-05-14 04:00:00+00:00,6.30,7.26,5.79,6.75,51547
2025-05-15 04:00:00+00:00,7.20,7.20,6.15,6.18,32060
2025-05-16 04:00:00+00:00,6.24,8.85,5.55,6.36,323080
2025-05-19 04:00:00+00:00,6.30,7.08,6.00,6.75,669393
2025-05-20 04:00:00+00:00,8.10,9.60,6.93,8.76,2563697
2025-05-21 04:00:00+00:00,8.52,9.30,7.83,8.49,154407
2025-05-22 04:00:00+00:00,7.98,8.88,7.95,8.25,45337
2025-05-23 04:00:00+00:00,7.59,8.25,7.11,7.86,52593
2025-05-27 04:00:00+00:00,7.65,8.37,7.38,8.16,41887
2025-05-28 04:00:00+00:00,8.40,15.00,8.10,12.00,1504633
2025-05-29 04:00:00+00:00,12.00,13.05,9.81,10.11,252197
2025-05-30 04:00:00+00:00,9.60,9.72,8.31,8.40,95903
2025-06-02 04:00:00+00:00,8.01,8.61,7.80,7.89,30037
2025-06-03 04:00:00+00:00,8.07,8.85,7.80,8.49,50660
2025-06-04 04:00:00+00:00,8.55,9.48,8.16,9.09,45800
2025-06-05 04:00:00+00:00,8.52,9.00,8.34,8.43,39650
2025-06-06 04:00:00+00:00,8.37,8.67,8.10,8.52,11727
2025-06-09 04:00:00+00:00,8.61,8.82,8.04,8.61,24360
2025-06-10 04:00:00+00:00,8.61,9.54,8.31,8.94,28583
2025-06-11 04:00:00+00:00,9.06,9.45,8.61,8.82,24220
2025-06-12 04:00:00+00:00,8.61,9.15,8.19,9.15,64977
2025-06-13 04:00:00+00:00,8.10,8.46,8.01,8.25,28237
2025-06-16 04:00:00+00:00,8.25,8.25,7.65,7.86,13487
2025-06-17 04:00:00+00:00,8.10,8.37,7.83,8.07,10467
2025-06-18 04:00:00+00:00,7.65,8.04,7.35,7.53,308270
